City Name,Overnight International Visitor Spend (US$ bn),Year,City Name Year
Dubai,23.85,2012,Dubai2012
New York,15.52,2012,New York2012
London,15.97,2012,London2012
Singapore,15.45,2012,Singapore2012
Bangkok,11.12,2012,Bangkok2012
Paris,17.25,2012,Paris2012
Tokyo,6.15,2012,Tokyo2012
Taipei,7.57,2012,Taipei2012
Seoul,6.96,2012,Seoul2012
Barcelona,7.61,2012,Barcelona2012
Miami,5.81,2012,Miami2012
Madrid,6.06,2012,Madrid2012
Los Angeles,6.58,2012,Los Angeles2012
Kuala Lumpur,7.54,2012,Kuala Lumpur2012
Sydney,6.58,2012,Sydney2012
San Francisco,4.85,2012,San Francisco2012
Hong Kong,7.11,2012,Hong Kong2012
Istanbul,6.31,2012,Istanbul2012
Shanghai,4.56,2012,Shanghai2012
Munich,4.99,2012,Munich2012
Dubai,24.76,2013,Dubai2013
New York,16.67,2013,New York2013
London,17.98,2013,London2013
Singapore,15.42,2013,Singapore2013
Bangkok,12.39,2013,Bangkok2013
Paris,19.5,2013,Paris2013
Tokyo,6.36,2013,Tokyo2013
Taipei,8.96,2013,Taipei2013
Seoul,7.47,2013,Seoul2013
Barcelona,8.65,2013,Barcelona2013
Miami,6.81,2013,Miami2013
Madrid,6.4,2013,Madrid2013
Los Angeles,6.84,2013,Los Angeles2013
Kuala Lumpur,7.99,2013,Kuala Lumpur2013
Sydney,6.51,2013,Sydney2013
San Francisco,5.36,2013,San Francisco2013
Hong Kong,7.03,2013,Hong Kong2013
Istanbul,7.39,2013,Istanbul2013
Shanghai,4.62,2013,Shanghai2013
Munich,5.46,2013,Munich2013
Dubai,26.09,2014,Dubai2014
New York,17.62,2014,New York2014
London,19.48,2014,London2014
Singapore,15.21,2014,Singapore2014
Bangkok,11.73,2014,Bangkok2014
Paris,16.42,2014,Paris2014
Tokyo,8.34,2014,Tokyo2014
Taipei,9.42,2014,Taipei2014
Seoul,10.13,2014,Seoul2014
Barcelona,8.87,2014,Barcelona2014
Miami,8.26,2014,Miami2014
Madrid,7.15,2014,Madrid2014
Los Angeles,7.7,2014,Los Angeles2014
Kuala Lumpur,9.37,2014,Kuala Lumpur2014
Sydney,6.4,2014,Sydney2014
San Francisco,5.68,2014,San Francisco2014
Hong Kong,6.93,2014,Hong Kong2014
Istanbul,8.73,2014,Istanbul2014
Shanghai,5.12,2014,Shanghai2014
Munich,5.71,2014,Munich2014
Dubai,28.2,2015,Dubai2015
New York,16.59,2015,New York2015
London,18.22,2015,London2015
Singapore,13.07,2015,Singapore2015
Bangkok,12.54,2015,Bangkok2015
Paris,13.41,2015,Paris2015
Tokyo,10.21,2015,Tokyo2015
Taipei,9.45,2015,Taipei2015
Seoul,8.26,2015,Seoul2015
Barcelona,7.73,2015,Barcelona2015
Miami,8.41,2015,Miami2015
Madrid,6.79,2015,Madrid2015
Los Angeles,7.4,2015,Los Angeles2015
Kuala Lumpur,7.67,2015,Kuala Lumpur2015
Sydney,6.36,2015,Sydney2015
San Francisco,6.07,2015,San Francisco2015
Hong Kong,6.32,2015,Hong Kong2015
Istanbul,8.51,2015,Istanbul2015
Shanghai,5.18,2015,Shanghai2015
Munich,4.94,2015,Munich2015
Dubai,28.5,2016,Dubai2016
New York,17.02,2016,New York2016
London,16.09,2016,London2016
