City Name,Overnight International Visitors (Millions),Year,City Name Year
Bangkok,15.82,2012,Bangkok2012
London,15.46,2012,London2012
Paris,15.76,2012,Paris2012
Dubai,10.95,2012,Dubai2012
Singapore,11.1,2012,Singapore2012
New York,10.92,2012,New York2012
Seoul,8.36,2012,Seoul2012
Kuala Lumpur,9.63,2012,Kuala Lumpur2012
Tokyo,4.89,2012,Tokyo2012
Istanbul,8.82,2012,Istanbul2012
Hong Kong,8.37,2012,Hong Kong2012
Barcelona,6.91,2012,Barcelona2012
Amsterdam,6.1,2012,Amsterdam2012
Milan,6.88,2012,Milan2012
Taipei,4.7,2012,Taipei2012
Rome,6.66,2012,Rome2012
Osaka,2.41,2012,Osaka2012
Vienna,5.38,2012,Vienna2012
Shanghai,6.04,2012,Shanghai2012
Prague,4.92,2012,Prague2012
Bangkok,17.47,2013,Bangkok2013
London,16.81,2013,London2013
Paris,17.2,2013,Paris2013
Dubai,12.19,2013,Dubai2013
Singapore,11.9,2013,Singapore2013
New York,11.38,2013,New York2013
Seoul,8.6,2013,Seoul2013
Kuala Lumpur,9.89,2013,Kuala Lumpur2013
Tokyo,5.4,2013,Tokyo2013
Istanbul,9.87,2013,Istanbul2013
Hong Kong,8.26,2013,Hong Kong2013
Barcelona,7.18,2013,Barcelona2013
Amsterdam,6.65,2013,Amsterdam2013
Milan,6.99,2013,Milan2013
Taipei,5.83,2013,Taipei2013
Rome,6.66,2013,Rome2013
Osaka,3.32,2013,Osaka2013
Vienna,5.55,2013,Vienna2013
Shanghai,5.71,2013,Shanghai2013
Prague,5.05,2013,Prague2013
Bangkok,17.03,2014,Bangkok2014
London,17.4,2014,London2014
Paris,17.19,2014,Paris2014
Dubai,13.21,2014,Dubai2014
Singapore,11.86,2014,Singapore2014
New York,12.02,2014,New York2014
Seoul,10.14,2014,Seoul2014
Kuala Lumpur,11.69,2014,Kuala Lumpur2014
Tokyo,7.68,2014,Tokyo2014
Istanbul,11.27,2014,Istanbul2014
Hong Kong,8.36,2014,Hong Kong2014
Barcelona,7.42,2014,Barcelona2014
Amsterdam,7.35,2014,Amsterdam2014
Milan,7.3,2014,Milan2014
Taipei,6.38,2014,Taipei2014
Rome,6.76,2014,Rome2014
Osaka,4.22,2014,Osaka2014
Vienna,5.85,2014,Vienna2014
Shanghai,5.89,2014,Shanghai2014
Prague,5.32,2014,Prague2014
Bangkok,19.59,2015,Bangkok2015
London,18.58,2015,London2015
Paris,16.99,2015,Paris2015
Dubai,14.2,2015,Dubai2015
Singapore,12.05,2015,Singapore2015
New York,12.3,2015,New York2015
Seoul,9.34,2015,Seoul2015
Kuala Lumpur,11.14,2015,Kuala Lumpur2015
Tokyo,10.35,2015,Tokyo2015
Istanbul,11.91,2015,Istanbul2015
Hong Kong,8.35,2015,Hong Kong2015
Barcelona,7.69,2015,Barcelona2015
Amsterdam,7.7,2015,Amsterdam2015
Milan,8.13,2015,Milan2015
Taipei,6.85,2015,Taipei2015
Rome,7.05,2015,Rome2015
Osaka,5.94,2015,Osaka2015
Vienna,6.21,2015,Vienna2015
Shanghai,6.06,2015,Shanghai2015
Prague,5.71,2015,Prague2015
Bangkok,19.41,2016,Bangkok2016
London,19.06,2016,London2016
Paris,15.45,2016,Paris2016
Dubai,14.87,2016,Dubai2016
Singapore,13.11,2016,Singapore2016
New York,12.7,2016,New York2016
Seoul,12.39,2016,Seoul2016
Kuala Lumpur,11.28,2016,Kuala Lumpur2016
Tokyo,11.15,2016,Tokyo2016
Istanbul,9.16,2016,Istanbul2016
Hong Kong,8.86,2016,Hong Kong2016
Barcelona,8.36,2016,Barcelona2016
Amsterdam,8.36,2016,Amsterdam2016
Milan,8.17,2016,Milan2016
Taipei,7.35,2016,Taipei2016
Rome,7.09,2016,Rome2016
Osaka,6.98,2016,Osaka2016
Vienna,6.42,2016,Vienna2016
Shanghai,6.38,2016,Shanghai2016
Prague,6.11,2016,Prague2016
London,15.29,2011,London2011
Bangkok,13.8,2011,Bangkok2011
Paris,14.02,2011,Paris2011
Dubai,9.91,2011,Dubai2011
Istanbul,7.51,2011,Istanbul2011
New York,10.26,2011,New York2011
Singapore,10.39,2011,Singapore2011
Kuala Lumpur,9.48,2011,Kuala Lumpur2011
Seoul,6.56,2011,Seoul2011
Hong Kong,8.43,2011,Hong Kong2011
Tokyo,3.26,2011,Tokyo2011
Barcelona,6.89,2011,Barcelona2011
Amsterdam,6.06,2011,Amsterdam2011
Rome,6.66,2011,Rome2011
Milan,6.59,2011,Milan2011
Taipei,3.96,2011,Taipei2011
Shanghai,6.18,2011,Shanghai2011
Vienna,5.08,2011,Vienna2011
Prague,4.36,2011,Prague2011
Los Angeles,4.45,2011,Los Angeles2011
Bangkok,21.09,2017,Bangkok2017
Paris,17.41,2017,Paris2017
London,19.83,2017,London2017
Dubai,15.79,2017,Dubai2017
Singapore,13.9,2017,Singapore2017
Kuala Lumpur,12.58,2017,Kuala Lumpur2017
New York,13.13,2017,New York2017
Istanbul,10.7,2017,Istanbul2017
Tokyo,11.93,2017,Tokyo2017
Antalya,9.42,2017,Antalya2017
Seoul,9.54,2017,Seoul2017
Osaka,8.42,2017,Osaka2017
Makkah,10.53,2017,Makkah2017
Phuket,9.68,2017,Phuket2017
Pattaya,8.96,2017,Pattaya2017
Milan,9.19,2017,Milan2017
Barcelona,8.7,2017,Barcelona2017
Palma de Mallorca,8.82,2017,Palma de Mallorca2017
Bali,7.76,2017,Bali2017
Hong Kong SAR,8.17,2017,Hong Kong SAR2017
Bangkok,22.78,2018,Bangkok2018
Paris,19.1,2018,Paris2018
London,19.09,2018,London2018
Dubai,15.93,2018,Dubai2018
Singapore,14.67,2018,Singapore2018
Kuala Lumpur,13.79,2018,Kuala Lumpur2018
New York,13.6,2018,New York2018
Istanbul,13.4,2018,Istanbul2018
Tokyo,12.93,2018,Tokyo2018
Antalya,12.41,2018,Antalya2018
Seoul,11.25,2018,Seoul2018
Osaka,10.14,2018,Osaka2018
Makkah,10,2018,Makkah2018
Phuket,9.89,2018,Phuket2018
Pattaya,9.44,2018,Pattaya2018
Milan,9.1,2018,Milan2018
Barcelona,9.09,2018,Barcelona2018
Palma de Mallorca,8.96,2018,Palma de Mallorca2018
Bali,8.26,2018,Bali2018
Hong Kong SAR,8.23,2018,Hong Kong SAR2018
